node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing,processing,sending_time,functions

/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61053.76210689545,0,,0,61053.7802169323,,6.89,20.27,16348.90,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.67603588104,0,,0,0,,1.12,3.32,21.62,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.71294307709,0,,0,0,,0.79,5.39,22.18,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.75141406059,0,,0,0,,0.32,5.34,22.12,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.83638906479,0,,0,0,,0.64,10.05,24.22,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.05,0.00,21.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.898673057556,0,,0,0,,0.23,2.51,22.80,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61075.993757009506,0,,0,0,,2.56,7.07,23.85,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,20.88,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.04425406456,0,,0,0,,0.84,6.30,25.30,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.06914806366,0,,0,0,,0.14,6.27,22.00,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,21.57,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.190908908844,0,,0,0,,0.61,2.94,21.71,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,0.00,21.72,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.23919391632,0,,0,0,,0.17,0.66,21.64,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.28274798393,0,,0,0,,4.83,1.81,22.46,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.31892490387,0,,0,0,,1.46,4.36,22.09,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.37187600136,0,,0,0,,0.59,1.84,23.80,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.44684410095,0,,0,0,,1.11,14.04,24.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,0.00,22.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.487932920456,0,,0,0,,0.13,3.53,23.83,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.577337026596,0,,0,0,,1.78,5.02,29.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.04,9.43,22.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.62515211105,0,,0,0,,0.11,8.46,24.19,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.03,0.00,21.54,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,61076.713705062866,0,,0,0,,0.49,7.32,23.57,[]
