node,name,RTT_ms,interest_receive_time,interest_sent_time,interest_latency,data_receive_time,data_sent_time,data_latency,parsing_time,processing_time,send_time,functions
14

/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66350.02293992043,0,,0,66350.05823493004,,6.18,37.86,16545.44,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.22265696526,0,,0,0,,0.17,0.95,23.68,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.25268507004,0,,0,0,,0.04,0.59,25.80,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.32763504982,0,,0,0,,0.06,0.61,25.13,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.3663880825,0,,0,0,,0.11,1.36,24.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.39734506607,0,,0,0,,0.03,0.22,23.03,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.52,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.53754496574,0,,0,0,,0.08,1.13,21.07,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.10,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.61670088768,0,,0,0,,0.32,1.46,21.87,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.00,0.00,23.44,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.02,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.69082403183,0,,0,0,,0.04,0.82,21.81,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.02,0.00,22.38,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.75312399864,0,,0,0,,0.06,0.70,20.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.80148410797,0,,0,0,,0.04,0.61,24.43,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.8996450901,0,,0,0,,0.06,0.77,25.25,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66371.94022107124,0,,0,0,,0.04,0.53,21.75,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.27,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.02280592918,0,,0,0,,0.07,0.98,25.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,25.08,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.06693100929,0,,0,0,,0.04,0.70,25.14,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.13910508156,0,,0,0,,0.15,1.08,22.44,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.29,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.22964191437,0,,0,0,,0.06,0.62,25.17,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.26347589493,0,,0,0,,0.04,0.99,22.55,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.30978107452,0,,0,0,,0.04,0.65,23.11,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.35293793678,0,,0,0,,0.07,1.07,20.49,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,24.15,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.42700600624,0,,0,0,,0.06,1.09,25.06,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,21.58,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.48450398445,0,,0,0,,0.06,1.38,20.41,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,0,0,,0,0,,0.01,0.00,22.50,[]
/dlsu/goks/cam,/dlsu/goks/cam,0.000000,66372.53777194023,0,,0,0,,0.05,0.98,25.14,[]
